"mes","num_mes","area","exp_derivados","promedio_dias"
"2026-01",1,Coordinación,30,126
"2026-01",1,Dictaminante,176,39
"2026-01",1,Dpto. Judicial,106,153
"2026-01",1,Juez de Sumario,210,229
"2026-01",1,Relator,18,199
"2026-02",2,Coordinación,57,133
"2026-02",2,Dictaminante,358,49
"2026-02",2,Dpto. Judicial,102,64
"2026-02",2,Juez de Sumario,421,113
"2026-02",2,Relator,45,101
"2026-02",2,Ujier Notificador,33,2
"2026-03",3,Coordinación,65,76
"2026-03",3,Dictaminante,334,29
"2026-03",3,Dpto. Judicial,154,62
"2026-03",3,Juez de Sumario,489,79
"2026-03",3,Relator,57,49
"2026-03",3,Ujier Notificador,14,74
"2026-04",4,Coordinación,67,42
"2026-04",4,Dictaminante,376,36
"2026-04",4,Dpto. Judicial,84,37
"2026-04",4,Juez de Sumario,393,63
"2026-04",4,Relator,51,65
"2026-04",4,Ujier Notificador,11,14
"2026-05",5,Coordinación,71,88
"2026-05",5,Dictaminante,324,32
"2026-05",5,Dpto. Judicial,229,47
"2026-05",5,Juez de Sumario,714,89
"2026-05",5,Relator,45,105
"2026-05",5,Ujier Notificador,21,32
"2026-06",6,Coordinación,41,53
"2026-06",6,Dictaminante,279,21
"2026-06",6,Dpto. Judicial,87,77
"2026-06",6,Juez de Sumario,411,88
"2026-06",6,Relator,40,41
"2026-06",6,Ujier Notificador,13,23
