"mes","num_mes","area","exp_derivados","promedio_dias"
"2026-01",1,Coordinación,16,98
"2026-01",1,Dictaminante,176,39
"2026-01",1,Dpto. Judicial,106,153
"2026-01",1,Juez de Sumario,210,229
"2026-01",1,Relator,18,199
"2026-02",2,Coordinación,13,89
"2026-02",2,Dictaminante,359,49
"2026-02",2,Dpto. Judicial,102,64
"2026-02",2,Juez de Sumario,421,113
"2026-02",2,Relator,46,101
"2026-02",2,Ujier Notificador,33,2
"2026-03",3,Coordinación,26,92
"2026-03",3,Dictaminante,334,29
"2026-03",3,Dpto. Judicial,154,62
"2026-03",3,Juez de Sumario,490,79
"2026-03",3,Relator,57,49
"2026-03",3,Ujier Notificador,14,74
"2026-04",4,Coordinación,16,58
"2026-04",4,Dictaminante,377,36
"2026-04",4,Dpto. Judicial,84,37
"2026-04",4,Juez de Sumario,393,63
"2026-04",4,Relator,51,65
"2026-04",4,Ujier Notificador,11,14
"2026-05",5,Coordinación,9,100
"2026-05",5,Dictaminante,258,32
"2026-05",5,Dpto. Judicial,116,57
"2026-05",5,Juez de Sumario,366,83
"2026-05",5,Relator,24,111
"2026-05",5,Ujier Notificador,12,45
